k	Prawidłowo zaklasyfikowane przypadki	Dokładnośc eksperymentu
1	29/30	96.66666666666667
2	29/30	96.66666666666667
3	29/30	96.66666666666667
4	29/30	96.66666666666667
5	29/30	96.66666666666667
6	29/30	96.66666666666667
7	29/30	96.66666666666667
8	29/30	96.66666666666667
9	29/30	96.66666666666667
10	28/30	93.33333333333333
11	28/30	93.33333333333333
12	28/30	93.33333333333333
13	28/30	93.33333333333333
14	28/30	93.33333333333333
15	28/30	93.33333333333333
16	28/30	93.33333333333333
17	28/30	93.33333333333333
18	28/30	93.33333333333333
19	28/30	93.33333333333333
20	28/30	93.33333333333333
21	28/30	93.33333333333333
22	28/30	93.33333333333333
23	28/30	93.33333333333333
24	28/30	93.33333333333333
25	28/30	93.33333333333333
26	27/30	90.0
27	27/30	90.0
28	27/30	90.0
29	27/30	90.0
30	27/30	90.0
31	26/30	86.66666666666667
32	26/30	86.66666666666667
33	27/30	90.0
34	27/30	90.0
35	27/30	90.0
36	26/30	86.66666666666667
37	27/30	90.0
38	28/30	93.33333333333333
39	27/30	90.0
40	27/30	90.0
41	27/30	90.0
42	27/30	90.0
43	27/30	90.0
44	27/30	90.0
45	27/30	90.0
46	27/30	90.0
47	27/30	90.0
48	27/30	90.0
49	27/30	90.0
50	27/30	90.0
51	27/30	90.0
52	27/30	90.0
53	27/30	90.0
54	27/30	90.0
55	27/30	90.0
56	27/30	90.0
57	27/30	90.0
58	26/30	86.66666666666667
59	26/30	86.66666666666667
60	26/30	86.66666666666667
61	26/30	86.66666666666667
62	26/30	86.66666666666667
63	26/30	86.66666666666667
64	26/30	86.66666666666667
65	26/30	86.66666666666667
66	26/30	86.66666666666667
67	27/30	90.0
68	26/30	86.66666666666667
69	26/30	86.66666666666667
70	27/30	90.0
71	27/30	90.0
72	27/30	90.0
73	26/30	86.66666666666667
74	27/30	90.0
75	26/30	86.66666666666667
76	25/30	83.33333333333334
77	25/30	83.33333333333334
78	26/30	86.66666666666667
79	26/30	86.66666666666667
80	25/30	83.33333333333334
81	26/30	86.66666666666667
82	26/30	86.66666666666667
83	26/30	86.66666666666667
84	25/30	83.33333333333334
85	25/30	83.33333333333334
86	25/30	83.33333333333334
87	23/30	76.66666666666667
88	24/30	80.0
89	24/30	80.0
90	24/30	80.0
91	23/30	76.66666666666667
92	24/30	80.0
93	23/30	76.66666666666667
94	20/30	66.66666666666666
95	21/30	70.0
96	20/30	66.66666666666666
97	20/30	66.66666666666666
98	19/30	63.33333333333333
99	17/30	56.666666666666664
100	17/30	56.666666666666664
101	15/30	50.0
102	14/30	46.666666666666664
103	13/30	43.333333333333336
104	14/30	46.666666666666664
105	11/30	36.666666666666664
106	13/30	43.333333333333336
107	13/30	43.333333333333336
108	9/30	30.0
109	11/30	36.666666666666664
110	9/30	30.0
111	13/30	43.333333333333336
112	9/30	30.0
113	10/30	33.33333333333333
114	11/30	36.666666666666664
115	11/30	36.666666666666664
116	13/30	43.333333333333336
117	15/30	50.0
118	19/30	63.33333333333333
119	13/30	43.333333333333336
120	9/30	30.0
